7zip 24.09-3
alsa-plugins 1:1.2.12-4
alsa-utils 1.2.13-2
amd-ucode 20241210.b00a7f7e-1
ani-cli 4.9-1.1
archlinux-wallpaper 1.6.1-7
argyllcms 3.3.0-1
aria2 1.37.0-1
aribb25 0.2.7-3
arrpc 3.5.0-2
aspell 0.60.8.1-2
atomicparsley 20240608.083822.1ed9031-1
autopep8 1:2.3.1-3
awesome 4.3-5
awesome-terminal-fonts 1.1.0-5
base 3-2
base-devel 1-2
bash-completion 2.15.0-1
bash-language-server 5.4.2-1
bc 1.07.1-5
bibata-cursor-theme 2.0.7-1
bibata-extra-cursor-theme 1.0.1-2
bind 9.20.4-1
bluedevil 1:6.2.4-1
blueman 2.4.3-2
bluez 5.79-1
bluez-cups 5.79-1
bluez-libs 5.79-1
bluez-mesh 5.79-1
bluez-obex 5.79-1
bluez-tools 0.2.0-6
bluez-utils 5.79-1
brightnessctl 0.5.1-3
bt-dualboot 1.0.1-3
btop 1.4.0-4
cairo 1.18.2-2
canto-daemon 0.9.8-6
catdoc 0.95-6
chafa 1.14.5-1
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240724-1
chntpw 140201-5
cinnamon-translations 6.4.1-1
cloudflare-warp-bin 2024.12.554-1
cmake 3.31.3-1
cmus 2.12.0-1
colord 1.4.7-2
colord-sane 1.4.7-2
colorgcc 1.4.5-3
corectrl 1.4.3-1
cpio 2.15-2
dconf-editor 45.0.1-1
dcraw 9.28.0-5
ddcutil 2.1.4-2
dex 0.9.0-2
djvulibre 3.5.28-6
dmenu 5.3-3
dmidecode 3.6-1
dosfstools 4.2-5
dotnet-host 8.0.11.sdk111-1
dotnet-runtime 8.0.11.sdk111-1
dotnet-sdk 8.0.11.sdk111-1
dotnet-source-built-artifacts 8.0.11.sdk111-1
dotnet-targeting-pack 8.0.11.sdk111-1
e2fsprogs 1.47.1-4
efibootmgr 18-3
efitools 1.9.2-5
efivar 39-1
ethtool 1:6.9-1
exfatprogs 1.2.6-1
f2fs-tools 1.16.0-3
fastfetch 2.33.0-1
feh 3.10.3-1
ffmpeg 2:7.1-5
ffmpeg4.4 4.4.5-2
ffmpegthumbnailer 2.2.3-3
ffmpegthumbs 24.12.0-1
firewalld 2.3.0-2
flake8 1:7.1.1-2
flatpak 1:1.15.91-1
freeipmi 1.6.14-1
fuse3 3.16.2-1
gamemode 1.8.2-1
ghostscript 10.04.0-1
git 2.47.1-1
github-cli 2.64.0-1
glew 2.2.0-7
gnome-keyring 1:46.2-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnu-free-fonts 20120503-8
gnuplot 6.0.2-1
go 2:1.23.4-1
gradle 8.10.2-1
gradle-doc 8.10.2-1
gradle-src 8.10.2-1
graphviz 12.1.2-2
grub 2:2.12-3
gst-libav 1.24.10-2
gst-plugin-gtk 1.24.10-2
gst-plugin-pipewire 1:1.2.7-1
gst-plugin-va 1.24.10-2
gst-plugin-webrtchttp 0.13.2-1
gst-plugins-bad 1.24.10-2
gst-plugins-base 1.24.10-2
